FriendlyName (required),CanBeObject (bool),QualifiedRuntimeTypeName,QualifiedSaveTypeName,Extension,AddToManagersMethod,RemoveFromLayerMethod,LayeredAddToManagersMethod,MakeManuallyUpdatedMethod,ActivityMethod,CustomLoadMethod,Conversion (List<FlatRedBall.Glue.CodeGeneration.ConversionCodeGenInfo>),AfterCustomActivityMethod,DestroyMethod,RecycledDestroyMethod,SupportsMakeOneWay,ShouldBeDisposed,ExtraVariablesPattern,VariableDefinitions (List<FlatRedBall.Glue.Elements.VariableDefinition>),ShouldAttach,IsPositionedObject,AdjustRelativeZ,AttachToNullOnlyMethod,FindByNameSyntax,MustBeAddedToContentPipeline,CanBeCloned,CustomCloneMethod,HasCursorIsOn,HasVisibleProperty,PostInitializeCode,ContentImporter,ContentProcessor,CanIgnorePausing,DefaultPublic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animation Chain List (.achx),,QualifiedType = FlatRedBall.Graphics.Animation.AnimationChainList,FlatRedBall.Content.AnimationChain.AnimationChainListSave,achx,,,,,,,,,,,FALSE,,,,FALSE,,,,"[""OBJECTNAME""]",FALSE,FALSE,,FALSE,FALSE,,AnimationChainArrayImporter,AnimationChainArrayProcessor,FALSE,
Scene (.scnx),TRUE,QualifiedType = FlatRedBall.Scene,FlatRedBall.Content.SpriteEditorScene,scnx,this.AddToManagers(),mLayer.Remove(this),this.AddToManagers(mLayer),this.ConvertToManuallyUpdated(),,,,this.ManageAll(),"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),TRUE,,,,TRUE,,"this.ShiftRelative(0,0,value)",AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,SceneFileImporter,SceneFileProcessor,TRUE,
SceneSave (.scnx),,QualifiedType = FlatRedBall.Content.SpriteEditorScene,FlatRedBall.Content.SpriteEditorScene,scnx,,,,,,"{THIS} = FlatRedBall.Content.SpriteEditorScene.FromFile(""{FILE_NAME}"");",,,,,FALSE,,,,FALSE,,,,,FALSE,TRUE,,FALSE,FALSE,,,,FALSE,
Shape Collection (.shcx),TRUE,QualifiedType = FlatRedBall.Math.Geometry.ShapeCollection,FlatRedBall.Content.Math.Geometry.ShapeCollectionSave,shcx,this.AddToManagers(),,this.AddToManagers(mLayer),,,,,,"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),TRUE,,,,TRUE,,"this.ShiftRelative(0,0,value)",AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,TRUE,TRUE,,ShapeCollectionImporter,ShapeCollectionProcessor,TRUE,
Emitter List (.emix),TRUE,QualifiedType = FlatRedBall.Graphics.Particle.EmitterList,FlatRedBall.Content.Particle.EmitterSaveList,emix,this.AddToManagers(),,this.AddToManagers(mLayer),,,,,,"this.RemoveFromManagers(ContentManagerName != ""Global"")",this.RemoveFromManagers(false),TRUE,,,,TRUE,,"this.ShiftRelative(0,0,value)",AttachAllDetachedTo,"FindByName(""OBJECTNAME"")",FALSE,TRUE,,FALSE,FALSE,,EmitterImporter,EmitterProcessor,TRUE,
Sprite Rig (.srgx),,QualifiedType = FlatRedBall.ManagedSpriteGroups.SpriteRig,FlatRedBall.Content.SpriteRig.SpriteRigSave,srgx,this.AddToManagers(),,,,,,,this.Manage(),this.Destroy(),,FALSE,,,,TRUE,,,,,FALSE,TRUE,,FALSE,FALSE,,SpriteRigImporter,SpriteRigProcessor,FALSE,
Node Network (.nntx),TRUE,QualifiedType = FlatRedBall.AI.Pathfinding.NodeNetwork,FlatRedBall.Content.AI.Pathfinding.NodeNetworkSave,nntx,,,,,,,,,this.Visible = false,,FALSE,,,,FALSE,,,,"FindByName(""OBJECTNAME"")",FALSE,FALSE,,FALSE,FALSE,,NodeNetworkImporter,NodeNetworkProcessor,FALSE,
Spreadsheet (.csv),,,,csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
